Epoch,Quantum_Loss,Classical_Loss,Quantum_Accuracy_Pct,Classical_Accuracy_Pct
0,1.4647088022037853,1.4032829550024752,47.4,49.0
1,1.460970080503574,1.402585756606291,,
2,1.4573165888680404,1.401905246534588,,
3,1.4537466783698167,1.4012410396024497,,
4,1.4502587146726384,1.4005927586100908,,
5,1.4468510788569067,1.399960034228542,,
6,1.4435221681918526,1.3993425048841608,,
7,1.4402703968550574,1.398739816642012,,
8,1.4370941966000725,1.3981516230884297,,
9,1.4339920173731386,1.3975775852129217,,
