idx,formula,n_heavy,DoU,gap_Ha,n_frontier_within_kT,largest_pi_atoms,n_aromatic_atoms
316,C3H2O3,6,3.0,0.11615,2,6,0
263,C3H7NO2,6,1.0,0.11889,4,3,0
713,C2H2N4,6,4.0,0.13105,2,6,6
315,C3HNO2,6,4.0,0.14823,2,6,0
314,C4H2O2,6,4.0,0.14904,2,6,0
27,C2H2O2,4,2.0,0.15466,2,4,0
714,C2H2N4,6,4.0,0.15614,2,6,6
347,C3H4O3,6,2.0,0.15648,2,4,0
343,C4H6O2,6,2.0,0.15718,2,4,0
58,C3H4O2,5,2.0,0.15731,2,4,0
271,C4H6O2,6,2.0,0.1587,2,4,0
715,C2H2N4,6,4.0,0.16141,4,6,6
891,C4H4N2O,7,4.0,0.16453,2,7,6
890,C4H4N2O,7,4.0,0.16721,2,7,6
344,C3H6N2O,6,2.0,0.16827,2,5,0
896,C4H4N2O,7,4.0,0.17181,3,7,6
901,C4H3NO2,7,4.0,0.17275,3,7,6
802,C4H6N2O,7,3.0,0.17382,2,6,0
711,C4H4N2,6,4.0,0.17508,2,6,6
712,C3H3N3,6,4.0,0.17549,3,6,6
889,C3H4N4,7,4.0,0.17595,2,7,6
894,C5H5NO,7,4.0,0.17723,2,7,6
899,C5H4O2,7,4.0,0.17778,2,7,6
345,C3H5NO2,6,2.0,0.17799,2,5,0
892,C4H4N2O,7,4.0,0.18006,2,7,6
895,C4H4N2O,7,4.0,0.1802,2,7,6
791,C5H3NO,7,5.0,0.18154,2,7,0
346,C3H4O3,6,2.0,0.18242,2,5,0
480,C5H2O,6,5.0,0.18287,4,6,0
481,C4HNO,6,5.0,0.18315,2,6,0
900,C4H3NO2,7,4.0,0.18396,2,7,6
893,C3H3N3O,7,4.0,0.18431,2,7,6
998,C5H5NO,7,4.0,0.18649,2,7,5
334,C3H6N2O,6,2.0,0.18673,3,5,0
916,C4H5N3,7,4.0,0.18814,2,7,6
920,C4H5N3,7,4.0,0.18814,2,7,6
474,C6H2,6,6.0,0.18965,4,6,0
311,C5H2O,6,5.0,0.1897,2,6,0
999,C5H4O2,7,4.0,0.19098,3,7,5
801,C5H7NO,7,3.0,0.19156,2,5,0
59,C2H4N2O,5,2.0,0.19178,2,5,0
602,C4H7NO,6,2.0,0.19275,2,0,0
433,C5H6O,6,3.0,0.19315,2,4,0
917,C4H5N3,7,4.0,0.19342,2,7,6
784,C4H8N2O2,8,2.0,0.19486,2,6,0
749,C2H3N3O,6,3.0,0.19516,2,6,5
312,C4HNO,6,5.0,0.19519,2,6,0
902,C4H3NO2,7,4.0,0.19535,2,7,6
907,C5H6N2,7,4.0,0.19536,2,6,6
911,C5H6N2,7,4.0,0.19536,2,6,6
897,C4H4N2O,7,4.0,0.19543,2,7,6
482,C4H2O2,6,4.0,0.19552,2,6,0
273,C2H4N2O2,6,2.0,0.19576,3,6,0
210,C4H4N2,6,4.0,0.19606,2,6,6
332,C3H4O3,6,2.0,0.19674,2,0,0
915,C5H6N2,7,4.0,0.1969,2,7,6
272,C3H6N2O,6,2.0,0.19691,2,5,0
979,C6H4O,7,5.0,0.19698,2,7,5
919,C4H5N3,7,4.0,0.19757,2,7,6
329,C4H6O2,6,2.0,0.19804,2,0,0
898,C3H3N3O,7,4.0,0.19806,2,7,6
903,C3H2N2O2,7,4.0,0.19836,2,7,6
918,C5H6N2,7,4.0,0.19868,2,7,6
252,C4H9NO,6,1.0,0.19921,2,0,0
313,C3N2O,6,5.0,0.19936,2,6,0
475,C5HN,6,6.0,0.19945,4,6,0
886,C5H4O2,7,4.0,0.19967,2,7,6
978,C6H5N,7,5.0,0.20154,0,7,5
25,C3H2O,4,3.0,0.20224,0,4,0
926,C4H4N2O,7,4.0,0.20228,0,7,6
930,C4H4N2O,7,4.0,0.20228,0,7,6
759,CH2N4O,6,3.0,0.20238,0,6,5
983,C5H3NO,7,5.0,0.20245,0,7,5
885,C4H4N2O,7,4.0,0.20279,0,7,6
981,C5H3NO,7,5.0,0.20313,0,7,5
299,C4H7NO,6,2.0,0.20322,0,0,0
113,C4H4O,5,3.0,0.20367,0,4,0
505,C5H6O,6,3.0,0.20383,0,4,0
777,C5H7NO,7,3.0,0.20394,0,5,0
914,C6H7N,7,4.0,0.20429,0,7,6
506,C4H4O2,6,3.0,0.20431,0,4,0
982,C5H4N2,7,5.0,0.20562,0,7,5
793,C4H5NO2,7,3.0,0.20568,0,5,0
910,C5H6N2,7,4.0,0.20588,0,6,6
927,C4H4N2O,7,4.0,0.20634,0,7,6
26,C2HNO,4,3.0,0.2064,0,4,0
985,C5H3NO,7,5.0,0.20666,0,7,5
55,C4H4O,5,3.0,0.2068,0,4,0
174,C4H5NO,6,3.0,0.20688,0,5,0
792,C5H7NO,7,3.0,0.20723,0,5,0
341,C4H4O2,6,3.0,0.20733,0,4,0
780,C4H7NO2,7,2.0,0.20744,0,3,0
887,C4H3NO2,7,4.0,0.20751,0,7,6
908,C5H6N2,7,4.0,0.20767,0,6,6
980,C5H4N2,7,5.0,0.20767,0,7,5
225,C5H6O,6,3.0,0.20775,0,4,0
335,C5H6O,6,3.0,0.20793,0,4,0
939,C4H6N2O,7,3.0,0.2087,0,6,5
884,C4H4N2O,7,4.0,0.20889,0,7,6
