Coordinate unit detected: Angstrom (record idx=0)
processed 100 (new_ok=100 fail=0, total=100)
processed 200 (new_ok=200 fail=0, total=200)
processed 300 (new_ok=300 fail=0, total=300)
processed 400 (new_ok=400 fail=0, total=400)
processed 500 (new_ok=500 fail=0, total=500)
processed 600 (new_ok=600 fail=0, total=600)
processed 700 (new_ok=700 fail=0, total=700)
processed 800 (new_ok=800 fail=0, total=800)
processed 900 (new_ok=900 fail=0, total=900)
processed 1000 (new_ok=1000 fail=0, total=1000)
processed 1100 (new_ok=1100 fail=0, total=1100)
processed 1200 (new_ok=1200 fail=0, total=1200)
processed 1300 (new_ok=1300 fail=0, total=1300)
processed 1400 (new_ok=1400 fail=0, total=1400)
processed 1500 (new_ok=1500 fail=0, total=1500)
processed 1600 (new_ok=1600 fail=0, total=1600)
processed 1700 (new_ok=1700 fail=0, total=1700)
processed 1800 (new_ok=1800 fail=0, total=1800)
processed 1900 (new_ok=1900 fail=0, total=1900)
processed 2000 (new_ok=2000 fail=0, total=2000)
processed 2100 (new_ok=2100 fail=0, total=2100)
processed 2200 (new_ok=2200 fail=0, total=2200)
processed 2300 (new_ok=2300 fail=0, total=2300)
processed 2400 (new_ok=2400 fail=0, total=2400)
processed 2500 (new_ok=2500 fail=0, total=2500)
processed 2600 (new_ok=2600 fail=0, total=2600)
processed 2700 (new_ok=2700 fail=0, total=2700)
processed 2800 (new_ok=2800 fail=0, total=2800)
processed 2900 (new_ok=2900 fail=0, total=2900)
processed 3000 (new_ok=3000 fail=0, total=3000)
processed 3100 (new_ok=3100 fail=0, total=3100)
processed 3200 (new_ok=3200 fail=0, total=3200)
processed 3300 (new_ok=3300 fail=0, total=3300)
processed 3400 (new_ok=3400 fail=0, total=3400)
processed 3500 (new_ok=3500 fail=0, total=3500)
processed 3600 (new_ok=3600 fail=0, total=3600)
processed 3700 (new_ok=3700 fail=0, total=3700)
processed 3800 (new_ok=3800 fail=0, total=3800)
processed 3900 (new_ok=3900 fail=0, total=3900)
processed 4000 (new_ok=4000 fail=0, total=4000)
processed 4100 (new_ok=4100 fail=0, total=4100)
processed 4200 (new_ok=4200 fail=0, total=4200)
processed 4300 (new_ok=4300 fail=0, total=4300)
processed 4400 (new_ok=4400 fail=0, total=4400)
processed 4500 (new_ok=4500 fail=0, total=4500)
processed 4600 (new_ok=4600 fail=0, total=4600)
processed 4700 (new_ok=4700 fail=0, total=4700)
processed 4800 (new_ok=4800 fail=0, total=4800)
processed 4900 (new_ok=4900 fail=0, total=4900)
processed 5000 (new_ok=5000 fail=0, total=5000)
processed 5100 (new_ok=5100 fail=0, total=5100)
processed 5200 (new_ok=5200 fail=0, total=5200)
processed 5300 (new_ok=5300 fail=0, total=5300)
processed 5400 (new_ok=5400 fail=0, total=5400)
processed 5500 (new_ok=5500 fail=0, total=5500)
processed 5600 (new_ok=5600 fail=0, total=5600)
processed 5700 (new_ok=5700 fail=0, total=5700)
processed 5800 (new_ok=5800 fail=0, total=5800)
processed 5900 (new_ok=5900 fail=0, total=5900)
processed 6000 (new_ok=6000 fail=0, total=6000)
processed 6100 (new_ok=6100 fail=0, total=6100)
processed 6200 (new_ok=6200 fail=0, total=6200)
processed 6300 (new_ok=6300 fail=0, total=6300)
processed 6400 (new_ok=6400 fail=0, total=6400)
processed 6500 (new_ok=6500 fail=0, total=6500)
processed 6600 (new_ok=6600 fail=0, total=6600)
processed 6700 (new_ok=6700 fail=0, total=6700)
processed 6800 (new_ok=6800 fail=0, total=6800)
processed 6900 (new_ok=6900 fail=0, total=6900)
processed 7000 (new_ok=7000 fail=0, total=7000)
processed 7100 (new_ok=7100 fail=0, total=7100)
processed 7200 (new_ok=7200 fail=0, total=7200)
processed 7300 (new_ok=7300 fail=0, total=7300)
processed 7400 (new_ok=7400 fail=0, total=7400)
processed 7500 (new_ok=7500 fail=0, total=7500)
processed 7600 (new_ok=7600 fail=0, total=7600)
processed 7700 (new_ok=7700 fail=0, total=7700)
processed 7800 (new_ok=7800 fail=0, total=7800)
processed 7900 (new_ok=7900 fail=0, total=7900)
processed 8000 (new_ok=8000 fail=0, total=8000)
processed 8100 (new_ok=8100 fail=0, total=8100)
processed 8200 (new_ok=8200 fail=0, total=8200)
processed 8300 (new_ok=8300 fail=0, total=8300)
processed 8400 (new_ok=8400 fail=0, total=8400)
processed 8500 (new_ok=8500 fail=0, total=8500)
processed 8600 (new_ok=8600 fail=0, total=8600)
processed 8700 (new_ok=8700 fail=0, total=8700)
processed 8800 (new_ok=8800 fail=0, total=8800)
processed 8900 (new_ok=8900 fail=0, total=8900)
processed 9000 (new_ok=9000 fail=0, total=9000)
processed 9100 (new_ok=9100 fail=0, total=9100)
processed 9200 (new_ok=9200 fail=0, total=9200)
processed 9300 (new_ok=9300 fail=0, total=9300)
processed 9400 (new_ok=9400 fail=0, total=9400)
processed 9500 (new_ok=9500 fail=0, total=9500)
processed 9600 (new_ok=9600 fail=0, total=9600)
processed 9700 (new_ok=9700 fail=0, total=9700)
processed 9800 (new_ok=9800 fail=0, total=9800)
processed 9900 (new_ok=9900 fail=0, total=9900)
processed 10000 (new_ok=10000 fail=0, total=10000)
processed 10100 (new_ok=10100 fail=0, total=10100)
processed 10200 (new_ok=10200 fail=0, total=10200)
processed 10300 (new_ok=10300 fail=0, total=10300)
processed 10400 (new_ok=10400 fail=0, total=10400)
processed 10500 (new_ok=10500 fail=0, total=10500)
processed 10600 (new_ok=10600 fail=0, total=10600)
processed 10700 (new_ok=10700 fail=0, total=10700)
processed 10800 (new_ok=10800 fail=0, total=10800)
processed 10900 (new_ok=10900 fail=0, total=10900)
processed 11000 (new_ok=11000 fail=0, total=11000)
processed 11100 (new_ok=11100 fail=0, total=11100)
processed 11200 (new_ok=11200 fail=0, total=11200)
processed 11300 (new_ok=11300 fail=0, total=11300)
processed 11400 (new_ok=11400 fail=0, total=11400)
processed 11500 (new_ok=11500 fail=0, total=11500)
processed 11600 (new_ok=11600 fail=0, total=11600)
processed 11700 (new_ok=11700 fail=0, total=11700)
processed 11800 (new_ok=11800 fail=0, total=11800)
processed 11900 (new_ok=11900 fail=0, total=11900)
processed 12000 (new_ok=12000 fail=0, total=12000)
processed 12100 (new_ok=12100 fail=0, total=12100)
processed 12200 (new_ok=12200 fail=0, total=12200)
processed 12300 (new_ok=12300 fail=0, total=12300)
processed 12400 (new_ok=12400 fail=0, total=12400)
processed 12500 (new_ok=12500 fail=0, total=12500)
processed 12600 (new_ok=12600 fail=0, total=12600)
processed 12700 (new_ok=12700 fail=0, total=12700)
processed 12800 (new_ok=12800 fail=0, total=12800)
processed 12900 (new_ok=12900 fail=0, total=12900)
processed 13000 (new_ok=13000 fail=0, total=13000)
processed 13100 (new_ok=13100 fail=0, total=13100)
processed 13200 (new_ok=13200 fail=0, total=13200)
processed 13300 (new_ok=13300 fail=0, total=13300)
processed 13400 (new_ok=13400 fail=0, total=13400)
processed 13500 (new_ok=13500 fail=0, total=13500)
processed 13600 (new_ok=13600 fail=0, total=13600)
processed 13700 (new_ok=13700 fail=0, total=13700)
processed 13800 (new_ok=13800 fail=0, total=13800)
processed 13900 (new_ok=13900 fail=0, total=13900)
processed 14000 (new_ok=14000 fail=0, total=14000)
processed 14100 (new_ok=14100 fail=0, total=14100)
processed 14200 (new_ok=14200 fail=0, total=14200)
processed 14300 (new_ok=14300 fail=0, total=14300)
processed 14400 (new_ok=14400 fail=0, total=14400)
processed 14500 (new_ok=14500 fail=0, total=14500)
processed 14600 (new_ok=14600 fail=0, total=14600)
processed 14700 (new_ok=14700 fail=0, total=14700)
processed 14800 (new_ok=14800 fail=0, total=14800)
processed 14900 (new_ok=14900 fail=0, total=14900)
processed 15000 (new_ok=15000 fail=0, total=15000)
processed 15100 (new_ok=15100 fail=0, total=15100)
processed 15200 (new_ok=15200 fail=0, total=15200)
processed 15300 (new_ok=15300 fail=0, total=15300)
processed 15400 (new_ok=15400 fail=0, total=15400)
processed 15500 (new_ok=15500 fail=0, total=15500)
processed 15600 (new_ok=15600 fail=0, total=15600)
processed 15700 (new_ok=15700 fail=0, total=15700)
processed 15800 (new_ok=15800 fail=0, total=15800)
processed 15900 (new_ok=15900 fail=0, total=15900)
processed 16000 (new_ok=16000 fail=0, total=16000)
processed 16100 (new_ok=16100 fail=0, total=16100)
processed 16200 (new_ok=16200 fail=0, total=16200)
processed 16300 (new_ok=16300 fail=0, total=16300)
processed 16400 (new_ok=16400 fail=0, total=16400)
processed 16500 (new_ok=16500 fail=0, total=16500)
processed 16600 (new_ok=16600 fail=0, total=16600)
processed 16700 (new_ok=16700 fail=0, total=16700)
processed 16800 (new_ok=16800 fail=0, total=16800)
processed 16900 (new_ok=16900 fail=0, total=16900)
processed 17000 (new_ok=17000 fail=0, total=17000)
processed 17100 (new_ok=17100 fail=0, total=17100)
processed 17200 (new_ok=17200 fail=0, total=17200)
processed 17300 (new_ok=17300 fail=0, total=17300)
processed 17400 (new_ok=17400 fail=0, total=17400)
processed 17500 (new_ok=17500 fail=0, total=17500)
processed 17600 (new_ok=17600 fail=0, total=17600)
processed 17700 (new_ok=17700 fail=0, total=17700)
processed 17800 (new_ok=17800 fail=0, total=17800)
processed 17900 (new_ok=17900 fail=0, total=17900)
processed 18000 (new_ok=18000 fail=0, total=18000)
processed 18100 (new_ok=18100 fail=0, total=18100)
processed 18200 (new_ok=18200 fail=0, total=18200)
processed 18300 (new_ok=18300 fail=0, total=18300)
processed 18400 (new_ok=18400 fail=0, total=18400)
processed 18500 (new_ok=18500 fail=0, total=18500)
processed 18600 (new_ok=18600 fail=0, total=18600)
processed 18700 (new_ok=18700 fail=0, total=18700)
processed 18800 (new_ok=18800 fail=0, total=18800)
processed 18900 (new_ok=18900 fail=0, total=18900)
processed 19000 (new_ok=19000 fail=0, total=19000)
processed 19100 (new_ok=19100 fail=0, total=19100)
processed 19200 (new_ok=19200 fail=0, total=19200)
processed 19300 (new_ok=19300 fail=0, total=19300)
processed 19400 (new_ok=19400 fail=0, total=19400)
processed 19500 (new_ok=19500 fail=0, total=19500)
processed 19600 (new_ok=19600 fail=0, total=19600)
processed 19700 (new_ok=19700 fail=0, total=19700)
processed 19800 (new_ok=19800 fail=0, total=19800)
